,username,tweet,retweet,Estado,Partido,Sentiment Analysis,isFavorable,time,NOME,Id_politico
0,tiago_dimas,"A principal meta das pautas deste ano deve ser a geração de empregos! O primeiro passo foi dado com a Reforma da Previdência e a aprovação da MP da Liberdade Econômica (MP881). Agora, vamos aquecer a economia e favorecer as mais diversas categorias.  https://t.co/cEQuBeruZl",False,Tocantins,SD,1,1,2019-08-30 17:42:14,TIAGO DIMAS,513
1,tiago_dimas,A votação da Reforma da Previdência não acabou. Ainda tem a votação de vários deataques e eu defendo alguns deles. Veja no vídeo!  https://t.co/1gm71s5OVl,False,Tocantins,SD,1,1,2019-07-11 20:01:03,TIAGO DIMAS,513
2,celiomourato,"Protocolamos ADIn no STF, para anular a cruel e Inconstitucional Reforma da Previdência do Carlesse.  Em Defesa dos Servidores Públicos do Tocantins, Espalha!!  #MandatoPopular  #CélioMoura  #ServidorPublicoDoTO  📲 Saiba mais:  https://t.co/oFoCy4Pv91  https://t.co/H1tFWwGelg",False,Tocantins,PT,-1,-1,2020-08-11 13:17:40,CELIO MOURA,508
3,celiomourato,O Movimento Sindical debate e trata em profundidade o tema das Privataria no Tocantins e a Reforma da Previdência no Estado. Muita gente boa e de luta junto participando.   Não a reforma da previdência e Não a Privatização!  #PrivatizaçãoNão #NãoAReformaDaPrevidencia #CélioMoura,False,Tocantins,PT,-1,-1,2020-06-19 10:56:31,CELIO MOURA,508
4,celiomourato,"Para 43% dos brasileiros, reforma da Previdência de Bolsonaro beneficia os ricos. #ParemAReformaDaPrevidência   https://t.co/QV0HwJSKzk",False,Tocantins,PT,-1,-1,2019-10-01 15:10:06,CELIO MOURA,508
5,celiomourato,Reforma da Previdência tira dos pobres e é inconstitucional #ParemAReformaDaPrevidência   https://t.co/K9HxgKI5pT,False,Tocantins,PT,-1,-1,2019-10-01 14:37:58,CELIO MOURA,508
6,celiomourato,"Veja e espalhe nosso Voto na Reforma da Previdência, 2º Turno. Meu compromisso é com as trabalhadoras e trabalhadores do Tocantins.  #ReformaCruel #EssaReformaNão #SigaCélioMoura  https://t.co/K7CbCDGyCA",False,Tocantins,PT,-1,-1,2019-08-07 13:05:59,CELIO MOURA,508
7,celiomourato,Bolsonaro gastou o dinheiro da Educação comprando votos na Reforma da Previdência?  https://t.co/QMwb5zWcLF,False,Tocantins,PT,-1,-1,2019-07-31 20:27:52,CELIO MOURA,508
8,celiomourato,"Alexandre, integrante da coordenação nacional do Movimento dos Trabalhadores Sem Terra (MST), alerta que a reforma da Previdência pode impactar negativamente a economia brasileira: “Os camponeses vão perder força no seu orçamento. #DiaDoTrabalhadorRural   https://t.co/uV2i2mtKig",False,Tocantins,PT,-1,-1,2019-07-25 09:58:40,CELIO MOURA,508
9,celiomourato,"A Reforma da Previdência é uma reforma cruel, que retira direitos dos trabalhadores e mantêm os privilégios dos mais ricos.  https://t.co/px5T2Y3sQZ",False,Tocantins,PT,-1,-1,2019-07-23 14:57:32,CELIO MOURA,508
10,celiomourato,"Defendemos os Direitos de quem Trabalha. Maque uma Amiga ou Amigo, uma Professora ou Professor, vamos juntos fortalecer a luta pela #Educação e por direitos!  #SempreAoLadoDaEducaçao • #ReformaCruel #RespeiteoProfessor • #ReformadaPrevidência • #Tocantins • #CélioMoura  https://t.co/9oJBqMXhn0",False,Tocantins,PT,-1,-1,2019-07-16 13:26:21,CELIO MOURA,508
11,celiomourato,"Triste Reforma da Previdência de Bolsonaro e seus aliados. Revelam o desprezo pelos Trabalhadores que ganham até 3 salários mínimos. Perdemos uma batalha, mobilizados e organizados, certamente venceremos a guerra. Sigamos juntos, sem perde a fé na luta!  #Ascom • #ReformaNAO  https://t.co/dgV9Fvpekt",False,Tocantins,PT,-1,-1,2019-07-12 22:05:53,CELIO MOURA,508
12,celiomourato,"Compra de votos? Para tirar tua aposentadoria, Bolsonaro tirou 1,25 bilhões dos Mais Médicos e entregou para emendas de deputados amigos.  #ReformaEContraOPobre • #ReformadaPrevidência • #ForaBolsonaro • #Tocantins • #DeputadoFederal • #CélioMoura • #DeputadoCelioMoura  https://t.co/GYg7q2dreD",False,Tocantins,PT,-1,-1,2019-07-12 20:08:48,CELIO MOURA,508
13,celiomourato,É preciso corrigir injustiças.A turma do Bolsonaro quer pagar menos que 1 salário para as viúvas pensionistas mais pobres. É muita covardia! #ReformaEContraOPobre • #ReformaNAO • #ReformadaPrevidência • #Governo• #ForaBolsonaro • #Tocantins • #DeputadoFederal • #CélioMoura  https://t.co/uki04nHP2C,False,Tocantins,PT,-1,-1,2019-07-12 18:38:42,CELIO MOURA,508
14,celiomourato,[ Agora em Brasília. Ato da UNE ] Estudantes e Trabalhadores unidos pelo futuro do Brasil: Pela Educação e contra a cruel Reforma da Previdência.  #LulaLivre • #UNE • #DeputadoCelioMoura • #UniversidadeÉResistência • #tsunamidaeducação  https://t.co/LchIpKzGCE,False,Tocantins,PT,-1,-1,2019-07-12 17:01:37,CELIO MOURA,508
15,celiomourato,"Seguiremos firmes na defesa dos mais necessitados do nosso Tocantins e do Brasil. Essa Reforma é muita crueldade com os empobrecidos, com a classe trabalhadora.  Vamos firmes, a luta continua!  #ReformaComprada • #ReformaInjustaNão • #MandatoPopular • #ReformadaPrevidência  https://t.co/QF0jqmDgtH",False,Tocantins,PT,-1,-1,2019-07-11 14:00:23,CELIO MOURA,508
16,celiomourato,"A reforma da Previdência de Bolsonaro é especialmente cruel com as mulheres. O tempo de contribuição e a idade mínima irão aumentar, desprezando conquistas históricas. #ReformaComprada   https://t.co/nd1i0a3OOd",False,Tocantins,PT,-1,-1,2019-07-11 13:22:10,CELIO MOURA,508
17,celiomourato,DO TOCANTINS SOMENTE CÉLIO MOURA VOTOU CONTRA TEXTO BASE DA REFORMA DA PREVIDÊNCIA  #ReformaNão #ReformaInjusta   https://t.co/ygINz8Xl54  https://t.co/lhi6uV1Btu,False,Tocantins,PT,-1,-1,2019-07-11 13:05:12,CELIO MOURA,508
18,celiomourato,Ninguém foi eleito prometendo tirar Direitos sociais. Essa Reforma da Previdência é injusta e cruel e deixa os pobres mais distantes da aposentadoria.   #reformacruel #reformacontraopovo #reformacontraMulhetes #EuVotoNãoComOs  https://t.co/ipuC3X6Ugm,False,Tocantins,PT,-1,-1,2019-07-10 20:47:12,CELIO MOURA,508
19,celiomourato,Nós fomos eleitotos para DEFENDER o Trabalhador e a Trabalhadora.   #ReformaNAO • #ReformadaPrevidência • #Governo • #ForaBolsonaro • #Democracia • #ReformaNão #ReformaInjusta  https://t.co/RbjepVvu0n,False,Tocantins,PT,-1,-1,2019-07-10 20:11:02,CELIO MOURA,508
20,celiomourato,Quem votar favorável a essa Reforma da Previdência de Bolsonaro é inimigo de quem trabalha ( e ganha pouco). É preciso conhecer e divulgar quem são os traidores do Povo!  Lute por seus Direitos!  #ReformaNão  https://t.co/tmb8IIAk0y,False,Tocantins,PT,-1,-1,2019-07-09 11:18:01,CELIO MOURA,508
21,celiomourato,"Participei hoje (03), da Frente Parlamentar dos Agentes Comunitários de Saúde e Agentes de Controle de Endemias, para discutir essa Reforma da Previdência que é um saco de maldades, e declarar meu apoio à aposentadoria especial por atividade insalubre dos ACS e ACE.  https://t.co/eZQpeJ029d",False,Tocantins,PT,-1,-1,2019-07-03 13:49:45,CELIO MOURA,508
22,celiomourato,"A reforma da Previdência não vai salvar o Brasil, ela vai quebrar o país e os mais pobres, da mesma forma que a reforma trabalhista que só piorou ainda mais a situação no país.  https://t.co/VyLkUOwxVC",False,Tocantins,PT,-1,-1,2019-06-11 19:06:46,CELIO MOURA,508
23,celiomourato,"A ""Nova Previdência"" proposta por Bolsonaro é a velha política de tirar dos pobres para manter privilégio dos ricos. Veja aí!  #ReformaDaPrevidencia #QueReformaEessa #Ascom  https://t.co/wzdD5HAa27",False,Tocantins,PT,-1,-1,2019-06-06 09:35:20,CELIO MOURA,508
24,celiomourato,"Contra o corte dos investimentos na Educação, contra a Reforma da Previdência! Pelo Brasil com mais livro e menos armas.  Rumo à #GreveGeral • #TsunamiDaEducação • #15M • #NaRuaPelaEducação  https://t.co/IkpBSoFG4e",False,Tocantins,PT,-1,-1,2019-05-14 20:17:11,CELIO MOURA,508
25,celiomourato,#AoVivo | ( Reforma da Previdência) O trabalhador não pode pagar a conta da irresponsabilidade de Bolsonaro  https://t.co/vUm361k4fp,False,Tocantins,PT,-1,-1,2019-04-24 15:16:24,CELIO MOURA,508
26,celiomourato,Perdão bilionário a fazendeiros desmoralizaria Reforma da Previdência  https://t.co/vutIK2RlWB via @UOLNoticias @UOL,False,Tocantins,PT,-1,-1,2019-04-12 22:18:56,CELIO MOURA,508
27,celiomourato,É preciso espalhar a verdade! É necessário derrubar a Reforma da Previdência de Bolsonaro/Guedes. Nenhum Direito a menos!  #ReformaDaPrevidenciaNão  #DefendaSuaAposentadoria #MandatoPopular  https://t.co/C3ddPZPvzC,False,Tocantins,PT,-1,-1,2019-04-02 17:53:35,CELIO MOURA,508
28,celiomourato,Diga NÃO a Reforma da Previdência de Bolsonaro/e Barqueiros  #NaoAReformaDaPrevidencia  https://t.co/3KSFJSlE03,False,Tocantins,PT,-1,-1,2019-03-29 16:39:50,CELIO MOURA,508
29,celiomourato,"#AoVivo - Bolsonaro humilha imigrantes brasileiros nos EUA,Reforma da Previdência é crime com o trabalhador  https://t.co/hhRi9Gh1JO",False,Tocantins,PT,-1,-1,2019-03-26 11:21:25,CELIO MOURA,508
